main_menu,sub_menu,module_name,full_path
Analytics,,Kanban,/analytics/kanban
Accounts,Purchase,Inward Checklist,/accounts/purchase/inward-checklist
Accounts,,Raw Data Review,/accounts/raw-data-review
Accounts,,Sample Receiving,/accounts/sample-receiving
Masters,,Checklist Master,/masters/checklist-master
Reports,Accounts,Material Indent Report,/reports/accounts/material-indent-report
Reports,Accounts,Sales Return Report,/reports/accounts/sales-return-report
Reports,Manufacturing,Material Wastage Report,/reports/manufacturing/material-wastage-report
Reports,Manufacturing,Other Consumption Report,/reports/manufacturing/other-consumption-report
Reports,Manufacturing,Stock Transfer Report,/reports/manufacturing/stock-transfer-report
Reports,,Part Consesion Note Report,/reports/part-consesion-note-report
Reports,,Instrument Checklist Report,/reports/instrument-checklist-report
Reports,QC,RMG Inspection Report,/reports/qc/rmg-inspection-report
Reports,,SOP Report,/reports/sop-report
Reports,Manufacturing,Daily Production Without BOM Report,/reports/manufacturing/daily-production-without-bom-report
Reports,Manufacturing,Work Order Report,/reports/manufacturing/work-order-report
Reports,Sales,Customer Price List Report,/reports/sales/customer-price-list-report
Reports,HR,Asset Tracker Report,/reports/hr/asset-tracker-report
Reports,Inventory,Stock Journal Report,/reports/inventory/stock-journal-report
Reports,Accounts,PDC Report,/reports/accounts/pdc-report
Reports,Accounts,Debit Report,/reports/accounts/debit-report
Reports,Accounts,Credit Report,/reports/accounts/credit-report
Reports,Accounts,Journal Vouchar Report,/reports/accounts/journal-vouchar-report
Reports,Accounts,Wastage Cheque Report,/reports/accounts/wastage-cheque-report
Reports,Accounts,Multi Payment Report,/reports/accounts/multi-payment-report
Reports,Accounts,Cheque Return Report,/reports/accounts/cheque-return-report
Reports,Accounts,Cheque Report,/reports/accounts/cheque-report
Reports,HR,Event Report,/reports/hr/event-report
Reports,HR,Task Master Report,/reports/hr/task-master-report
Reports,HR,Recruitment Report,/reports/hr/recruitment-report
Reports,HR,Employee Performance Report,/reports/hr/employee-performance-report
Reports,HR,Earning and Deduction Report,/reports/hr/earning-and-deduction-report
Manufacturing,,Gate Pass,/manufacturing/gate-pass
Reports,HR,Advance Report,/reports/hr/advance-report
Reports,HR,Employee Report,/reports/hr/employee-report
Reports,Manufacturing,Sampling Plan Report,/reports/manufacturing/sampling-plan-report
Reports,HR,Employee History,/reports/hr/employee-history
Reports,Manufacturing,Production Report,/reports/manufacturing/production-report
Manufacturing,,Daily Production Mix,/manufacturing/daily-production-mix
Masters,Manufacturing,BOM Mix,/masters/manufacturing/bom-mix
Manufacturing,,Material Return,/manufacturing/material-return
Reports,Inventory,Inward Register Report,/reports/inventory/inward-register-report
HR,Payroll,Advance,/hr/payroll/advance
Reports,HR,Activity Report,/reports/hr/activity-report
Masters,Payroll,Earnings and Deductions,/masters/payroll/earnings-and-deductions
Masters,HR,Earnings and deductions Head,/masters/hr/earnings-and-deductions-head
Manufacturing,,Sampling Plan,/manufacturing/sampling-plan
Tools,,Notification Master,/tools/notification-master
Masters,Analytics,Test Group,/masters/analytics/test-group
Manufacturing,,Instrument Checklist,/manufacturing/instrument-checklist
Manufacturing,,Daily Production FG,/manufacturing/daily-production-fg
Manufacturing,,RMG Inspection Checklist,/manufacturing/rmg-inspection-checklist
Masters,Inventory,Flavor Master,/masters/inventory/flavor-master
Masters,Inventory,Brand Master,/masters/inventory/brand-master
Masters,Analytics,Machine Master,/masters/analytics/machine-master
Manufacturing,,Daily Production Bulk,/manufacturing/daily-production-bulk
Reports,Manufacturing,Stock Audit Report,/reports/manufacturing/stock-audit-report
Reports,Manufacturing,BOM Expected Qty Report,/reports/manufacturing/bom-expected-qty-report
Reports,Manufacturing,BOM Report,/reports/manufacturing/bom-report
Reports,Manufacturing,Material Requirement Plan,/reports/manufacturing/material-requirement-plan
Reports,Manufacturing,Daily Production Report,/reports/manufacturing/daily-production-report
Reports,,Manufacturing,/reports/manufacturing
Masters,Inventory,SET,/masters/inventory/set
Masters,Accounts,Opening Balance,/masters/accounts/opening-balance
Masters,Accounts,Vendor Evaluation,/masters/accounts/vendor-evaluation
Masters,Accounts,Cheque Book,/masters/accounts/cheque-book
Masters,Accounts,Cost Master,/masters/accounts/cost-master
Masters,Accounts,Customer Product Master,/masters/accounts/customer-product-master
Masters,Accounts,Vendor Category,/masters/accounts/vendor-category
Masters,Accounts,Vendor Type,/masters/accounts/vendor-type
Masters,Accounts,Vendor,/masters/accounts/vendor
Masters,Accounts,Merge Ledger,/masters/accounts/merge-ledger
Accounts,Purchase,Other Purchase Return,/accounts/purchase/other-purchase-return
Accounts,Purchase,Other Purchase Order,/accounts/purchase/other-purchase-order
Reports,MIS Report,Profit and Loss Statement,/reports/mis-report/profit-and-loss-statement
Reports,MIS Report,DP LIMIT,/reports/mis-report/dp-limit
Reports,MIS Report,Audit Trial,/reports/mis-report/audit-trial
Reports,,MIS Report,/reports/mis-report
Reports,Inventory,Employee Product Ledger,/reports/inventory/employee-product-ledger
Reports,Inventory,Minimum Qty Report,/reports/inventory/minimum-qty-report
Reports,Inventory,Employee Out Standing,/reports/inventory/employee-out-standing
Reports,Inventory,Stock Report,/reports/inventory/stock-report
Reports,Inventory,Stock Report With Location,/reports/inventory/stock-report-with-location
Reports,Pending Report,Pending Material Request For Location,/reports/pending-report/pending-material-request-for-location
Reports,Pending Report,Pending Material Request For Employee,/reports/pending-report/pending-material-request-for-employee
Reports,Pending Report,Pending Purchase Bill,/reports/pending-report/pending-purchase-bill
Reports,Pending Report,Pending Material Indent,/reports/pending-report/pending-material-indent
Reports,Pending Report,Pending Purchase Order,/reports/pending-report/pending-purchase-order
Reports,Pending Report,Pending Sales Order,/reports/pending-report/pending-sales-order
Reports,Pending Report,Pending Sales Challan,/reports/pending-report/pending-sales-challan
Reports,Pending Report,Pending Material Issue of Employee,/reports/pending-report/pending-material-issue-of-employee
Reports,Pending Report,Pending Material Return,/reports/pending-report/pending-material-return
Reports,,Pending Report,/reports/pending-report
Reports,Accounts,Sales Order Report,/reports/accounts/sales-order-report
Reports,Accounts,Other Purchase Return,/reports/accounts/other-purchase-return
Reports,Accounts,IQC Report,/reports/accounts/iqc-report
Reports,Accounts,Purchase Return Report,/reports/accounts/purchase-return-report
Reports,Accounts,PO Vs GRN Report,/reports/accounts/po-vs-grn-report
Reports,Accounts,Material Return Report,/reports/accounts/material-return-report
Reports,Accounts,Purchase Order Report,/reports/accounts/purchase-order-report
Reports,Accounts,Other Purchase Report,/reports/accounts/other-purchase-report
Reports,Accounts,Supplier Price List Report,/reports/accounts/supplier-price-list-report
Reports,Accounts,QC Report,/reports/accounts/qc-report
Accounts,Sales,PDC List,/accounts/sales/pdc-list
Accounts,Sales,Customer Price List,/accounts/sales/customer-price-list
Accounts,Sales,Sales Bill,/accounts/sales/sales-bill
Accounts,Sales,Other Sales,/accounts/sales/other-sales
Accounts,Sales,Sales Return,/accounts/sales/sales-return
Accounts,Sales,Sales Challan,/accounts/sales/sales-challan
Accounts,Sales,Sales Order,/accounts/sales/sales-order
Accounts,,Wastage Cheque,/accounts/wastage-cheque
Accounts,,Stock Journal,/accounts/stock-journal
Accounts,,Multi Receipt,/accounts/multi-receipt
Accounts,,Multi Payment,/accounts/multi-payment
Accounts,,Cheque Return,/accounts/cheque-return
Accounts,Purchase,Purchase Return,/accounts/purchase/purchase-return
Accounts,Purchase,Supplier Price List,/accounts/purchase/supplier-price-list
Accounts,Purchase,Material indent,/accounts/purchase/material-indent
Accounts,Purchase,Material Issue,/accounts/purchase/material-issue
Accounts,Purchase,Material Request,/accounts/purchase/material-request
Accounts,Purchase,IQC,/accounts/purchase/iqc
Manufacturing,,Part Concession Note,/manufacturing/part-concession-note
Manufacturing,,Stock Audit,/manufacturing/stock-audit
Manufacturing,,Material Wastage,/manufacturing/material-wastage
Manufacturing,,Other Consumption,/manufacturing/other-consumption
Manufacturing,,Stock Transfer,/manufacturing/stock-transfer
Manufacturing,,SOP,/manufacturing/sop
QMS,CAPA,Incident Management,/qms/capa/incident-management
Reports,Analytics,Pending Report For Invoice,/reports/analytics/pending-report-for-invoice
Masters,Analytics,Reason Master,/masters/analytics/reason-master
Analytics,Pre Analytics,Booking Approval,/analytics/pre-analytics/booking-approval
Analytics,Analytics,Approve Test Result,/analytics/analytics/approve-test-result
Masters,Analytics,Pack Size Master,/masters/analytics/pack-size-master
Reports,Analytics,Booking Report,/reports/analytics/booking-report
Analytics,Pre Analytics,Test Review,/analytics/pre-analytics/test-review
Masters,Analytics,Report Type,/masters/analytics/report-type
Masters,Analytics,Method Master,/masters/analytics/method-master
Masters,Inventory,Opening Qty,/masters/inventory/opening-qty
Masters,Analytics,Instrument Type,/masters/analytics/instrument-type
Masters,Analytics,Description Master,/masters/analytics/description-master
Masters,Analytics,COA Templates,/masters/analytics/coa-templates
QMS,,Dashboard,/qms/dashboard
Masters,HR,Education Master,/masters/hr/education-master
Masters,HR,Assign Shift,/masters/hr/assign-shift
Masters,HR,Shift Master,/masters/hr/shift-master
Manufacturing,,Post Launch,/manufacturing/post-launch
Manufacturing,,Market Launch,/manufacturing/market-launch
Manufacturing,,Regulatory Approval,/manufacturing/regulatory-approval
Manufacturing,,Feasibility Assessment,/manufacturing/feasibility-assessment
HR,Performance Management,Employee Performance,/hr/performance-management/employee-performance
Reports,,Sample Withdrawal Report,/reports/sample-withdrawal-report
Reports,,Test Result Entry Report,/reports/test-result-entry-report
Reports,,Sample Receipt Report,/reports/sample-receipt-report
Reports,,Pull Cycle Report,/reports/pull-cycle-report
Masters,Accounts,Courier Company Master,/masters/accounts/courier-company-master
Masters,Inventory,Chamber Master,/masters/inventory/chamber-master
Masters,,Check list,/masters/check-list
Masters,,Machine Category,/masters/machine-category
Masters,,Building Location,/masters/building-location
Masters,,Frequency,/masters/frequency
Masters,,Complain Type,/masters/complain-type
Masters,,Parts,/masters/parts
Masters,,Machines,/masters/machines
Masters,,Parts Group,/masters/parts-group
Masters,,Make Master,/masters/make-master
CMMS,,Visitor,/cmms/visitor
CMMS,,Jobwork Out,/cmms/jobwork-out
CMMS,,Jobwork In,/cmms/jobwork-in
CMMS,,Complain,/cmms/complain
CMMS,,PM,/cmms/pm
CMMS,,AMC,/cmms/amc
QMS,Non Conformance Management,Non Conformance investigation,/qms/non-conformance-management/non-conformance-investigation
QMS,Non Conformance Management,Non Conformance Reporting,/qms/non-conformance-management/non-conformance-reporting
Analytics,,R&D,/analytics/r-d
QMS,Pharmacovigilance,Risk Management,/qms/pharmacovigilance/risk-management
QMS,Pharmacovigilance,Regulatory Reporting,/qms/pharmacovigilance/regulatory-reporting
QMS,Pharmacovigilance,Signal Detection,/qms/pharmacovigilance/signal-detection
QMS,Pharmacovigilance,Drug Management,/qms/pharmacovigilance/drug-management
QMS,Pharmacovigilance,Adverse Event,/qms/pharmacovigilance/adverse-event
QMS,Pharmacovigilance,Case Management,/qms/pharmacovigilance/case-management
Analytics,Post Analytics,COA Dispatch,/analytics/post-analytics/coa-dispatch
Analytics,Post Analytics,COA Preparation,/analytics/post-analytics/coa-preparation
Analytics,Post Analytics,Result Data Review,/analytics/post-analytics/result-data-review
Analytics,Analytics,Test Result,/analytics/analytics/test-result
Analytics,Pre Analytics,Work Allocation,/analytics/pre-analytics/work-allocation
Analytics,Pre Analytics,Booking Entry,/analytics/pre-analytics/booking-entry
Analytics,,Analytics,/analytics/analytics
Analytics,,Post Analytics,/analytics/post-analytics
Analytics,,Dashboard,/analytics/dashboard
Analytics,,Pre Analytics,/analytics/pre-analytics
Analytics,,Reports,/analytics/reports
Analytics,,Sample Details,/analytics/sample-details
QMS,,Audit,/qms/audit
QMS,CAPA,Preventive Action,/qms/capa/preventive-action
QMS,,CAPA,/qms/capa
QMS,,Document Management,/qms/document-management
QMS,LMS,Training Schedule,/qms/lms/training-schedule
QMS,,Pharmacovigilance,/qms/pharmacovigilance
